comment,score
บอกเลยเป็นโรงพยาบาลที่คำว่าอำนวยความสะดวกติดลบมากๆเรื่องที่จอดรถ มีที่จอดมากพอแต่กันไว้สำหรับเจ้าหน้าหรือนายตำรวจเท่านั้นแต่เจ้าหน้าที่หรือนายตำรวจก็ไม่ได้มาจอดเต็มพื้นที่แต่กันไว้เฉยๆแทนที่จะอำนวยความสะดวกของประชาชนที่มาพบแพทย์ มากกว่า ผู้บริหารควรเอาเรื่องนี้มาคิดเยอะๆนะครับ เสียดายที่แม่ผมไม่ยอมย้ายโรงบาลไม่งั้นไม่เลี้ยวรถเข้ามาให้เหนื่อยหรอก,1
สุดยอด,5
ดีค่ะ ปรับปรุงเปลี่ยนแปลงทุก 3 เดือน ก็ งง ๆ แต่ในทางที่ดีขึ้นค่ะ,5
คุณหมอพูดจาดีเอาใจใส่น่ารักมากค่ะ,4
ขอบคุณพยาบาลที่ตึกเฉลิมพระเกียรติ ชั้น 11 ที่ดูแลผมเป็นอย่างดี เข้ามาดูอาการ ทุก 15 นาที ประทับใจครับ และขอโทษหมอด้วย ที่ผมชอบกวนหมอ และพูดไม่รู้เรื่อง,4
รักษาคนธรรมดาไหมคับที่ไม่ใช่ครอบครัวราชการ,4
ก็ดีนิดนึง,2
หมอใจดี,4
อยากทราบค่าฝากครรภ์ครั้งแรกคะ,1
คนเยอะมาก ไป6โมงเช้ส เสร็จบ่ายโมง พอถึงคิวหมอติดผ่าตัดซะงั้น แต่ก็ทำใจ คนของประชาชน,3
ดี,5
คลอดลูกที่นี่ ดีค่ะบริการดีให้คำปรึกษาดี,4
เป็นคนไข้ที่ ร.พ.ตำรวจ อาการดีขึ้นเรื่อยๆ แพทย์ที่รักษา แพทย์หญิงพัสวี เก่งมากขอขอบคุณ คุณหมอที่รักษามาโดยตลอด ส่วนใหญ่ด้านบริการทุกๆด้านดีมาก,5
ไปฝากท้องหมอบอกรัฐไม่สนับสนุนให้มีลูกเยอะ เห็นเพื่อนฝากฟรีเลยไปบ้าง แต่เราไปฝากเสียพันห้าพันหก มีมาตราใหนไม่เคยได้ยินว่ารัฐไม่สนับสนุนให้มีลูกเยอะแล้วให้จ่ายเงินเองทุกรอบ บอกจ่ายครังเก้าสิบนี่ปาไปพันหกคือไร?? ขนาดฝากครั้งแรกนะ,1
บริการด้วยใจคืออะไรคะ แม่ไปหาหมอไปถึงโรงพยาบาลตั้งแต่ตี4.30น. ไปตามที่หมอนัด คนแก่ด้วยยื่นบัตรคิวตั้งแต่ไปถึง พยาบาลพูดจาก็ไม่ดี เข้าใจนะคะว่าคงเหนื่อย คนก็เยอะ แต่คุณมาอยู่ในวิชาชีพนี้ตั้งแต่แรกคุณน่าจะเข้าใจนะคะ ว่าการบริการคนป่วยคือสิ่งสำคัญ ไปตามหมอนัด9.00แต่ได้เจอหมอ16.30คืออะไรคะ ตรวจไม่ถึง5นาทีให้รอรับยาคืออะไรคะ คนป่วยหมอนรองกระดูกนะคะไม่ใช่ปวดหัว แย่พอกันทั้งหมอทั้งพยาบาล เสียชื่อโรงพยาบาลจริงๆ,2
โชคดีครับเจอะคุณหมอหนุ่มใจดีเอาใจใส่คนไข้ ขอบคุณครับ คุณหมอวสันต์ ซุ่นเฟื่อง เสียอย่างเดียวรอรับยานานเกินไป,4
เยี่ยมครับ,5
ดีมาก,1
พยาบาลน่ารักทุกคนครับ,5
ห้องตรวจโรคตาเมื่อก่อนเรียกตามคิวใครมาก่อนก็รักษาก่อน แต่เดี๋ยวนี้เปลี่ยนระบบเป็นเรียกตามหมอ ช้ามากกกกมีแต่คนบ่นๆกันเยอะมากค่ะ แล้วคนไข้ก็มีแต่ผู้สูงอายุทั้งนั้น อย่างนี้มาเร็วมาช้าไม่มีผลค่ะ แถมข้าราชการแซงคิวได้ด้วย (แนะนำให้ใช้ระบบเรียกตามคิวเหมือนเดิมค่ะ ยุติธรรมดี) จากผู้ใช้บริการเจอมากับตัวค่ะ ปรับปรุงด่วน,2
มีทั้งบัตรฯและวงเงิยก้อน อนุมัติ5เท่าของเงินเดือนจ้าาา สมัครฟรี ไม่เสียค่าใช้จ่ายใดๆทั้งสิ้นตลอดชีพ,5
เคยใช้บริการมานานมากตั้งแต่ปี2545จนถึงปี2556เข้าๆออกๆเพราะสามีป่วยคุณหมอและพยาบาลทุกคนน่ารักโดยเฉพาะอ. พงศธร [คุณหมอโด้],3
เลิฟเลย,5
หมอห้องฝ่าตัดตา พูดจาดีมากยิ้มแย้มแจ๋มใส่ ชอบๆๆ น่ารักทุกคนเลย,5
คุณหมอ น่ารักค้ะ,5
พยาบาลน่ารักเกือบทุกคนคะโดยเฉพาะศูนย์ OSCC เหมาะสมแล้วที่เขาเลือกท่านมาอยู่แผนกนี้ใจดีคะ,5
เป็นสถานที่ดี พี่พยาบาลน่ารัก รู้สึอบอุ่นคาฟ,5
ก็โอนะ,5
ลู กผมคลอดที่นี่ปัจจุบันนี้ 7มค 48 ครบ 9ขวบแล้ว,5
ขอบคุณหมอและเจ้าหน้าที่โรงพยาบาลตำรวจที่บริการที่ดี..ขอบคุณค่ะ,5
รู้สึกดี,5
พยาบาลแผนกฮุกเฉิน ไม่ชอบเลยคะ พูดไม่เพราะ นินทาคนไข้ พูดดูถูกคนไข้ เวรดึกวันที่13/8/57คะ รบกวนผู้ที่เกี่ยวข้องดูแลตักเตือนด้วยนะคะ รู้สึกว่าไม่ค่อยมีจิตสำนึกที่ดี สมกับที่ประชาชนให้ความไว้วางใจเลยคะ,1
จริงๆแล้วเป็นคนไข้ที่นี่ขอติหาห้องน้ำยาก/ร้านอาหารก็แออัดและแพง,5
บริการดีค่ะ ไปมาสะดวกที่จอดรถไม่มีก็ไปจอดที่สยามได้ค่ะ,5
คุณหมอเก่ง,5
ดีใช้ได้ไม่แย่จนเกินไปและขอคุณมากๆที่ได้มาเยี่ยมชมขอบุณค่ะ,3
ตรวจโรคทั่วไปและรักษาเกี่ยวกับท้องและอาการไอ,5
ดีคุณหมอบริการดี,5
ได้4ดาวมาได้ยังงัยคะ คนทำงานที่นี่ไม่มีจรรยาบรรณสักนิด บริการขั้นห่วย น่าจดจำมาก,1
บริการดึอยู่นะ,3
กลัวมาก ติดอยู่ในลิฟเกือบ 20 นาที ตอนห้าทุ่มT^T มีปัญหาเรื่องลิฟตลอด ช้ามาก พอทน แต่ค้างนี้ไม่ไหวกว่าจะเปิดได้!,1
รักษาเท่าเทียมกันไม่ว่าจะจนหรืจะมี สัมหรับผมชอบมากครับ โรงพยาบาลตำรวจ,4
ฝากถึงผู้บริหารรพ พนักงานไม่สุภาพ คุยกับคนไข้ไม่เกียรติชักสีหน้า,1
มีเพื่อนอยู่ที่นี่ค่ะ.....บริการดีทุกคนค่ะ,5
เราไม่ชอบตำรวจเพระมันพวกทักสิน,1
โรงพยาบาลตํารวจดีที่สุดแล้วค่ะ,2
รอหมอ 3 ชม. ได้เจอหมอไม่ถึง 5 นาที แถมหมอยังรีบอีก รอพบพยาบาลหลังพบแพทย์ 1 ชม. รอรับยา 2.30 ชม. สรุป อยู่ ร.พ.ครึ่งวันกว่า เซ็ง!!!,1
ช้ามากค่ะ มาตั้งแต่ 7โมง 14.56 น.ยังต้องรอหมอเรียก จะ 8 ชั่วโมงแล้วนะที่นั่งรอ นานไปปะค่ะ ปรับปรุงด้วยแย่มาก,1
คือน้องชายเป็นไข้มารอมาเป็นชั่วโมงแล้วค่ะไม่เห็นเรียกตรวจอะไรเลยรอนานไปรึป่าวคะคุณหมอ..ถ้าป่วยใกล้ตายน้องกุคงตายแล้วล่ะ..แย่,1
บริการดีม๊ากๆ,3
ดีค่ะ,5
ดีที่สุดๆๆๆ หมอพยาบาลเอาใจใส่คนป่วยน่ารักกันทั้งโรงบาลเลยจ๋าๆ..,5
รักษาประจำ ไว้ใจได้ค่ะ,4
"คุณหมอ..คุณพยาบาล..ที่นี่เก่งมากๆครับ ให้การดูแลรักษาเอาใจใส่ผู้ป่วยเป็นอย่างดี..โดยไม่เห็นแก่ความเหน็ดเหนื่อยเมื่อยล้า... เนื่องเพราะในแต่ละวันมีผู้เจ็บไข้ได้ป่วยเข้ามารับการตรวจรักษา..ค่อนข้างมาก... ซึ่งหนึ่งในนั้นมีญาติของผมด้วยได้มารับการตรวจ..พบเป็นมะเร็ง..และ..ส่งต่อไปที่ โรงพยาบาลจุฬาลงกรณ์.. ปัจจุบันอาการ..ดีขึ้นสามารถ ทำงานได้ตามปกติ ""ผมขอขอบคุณ..บุคลากรทางการแพทย์ทุกๆท่านเป็นอย่างมากที่ให้การช่วยเหลือ..พวกเราเป็นอย่างดี ขอบคุณครับ""",5
คนเยอะ แต่มีระเบียบทุกๆๆด้านค่ะ รวดเร็วเป็นที่น่าพอใจค่ะ,3
แพทย์และพยาบาลน่ารักมากครับ เอาใจใส่ดูแลผู้ป่วยดีมาก,5
เป็นการทำงานที่ล่าช้ามาก และไม่เอาใจใส่คนไข้,1
น้องไปฝากท้องที่นี้ หมอนัดที่ไรเจอพยาบาลคนี้บอกแต่ให้ย้ายกลับไปคลอดที่บ้านนอกจวนจะคลอดอยู่แล้ววันนี้หมอนัดอีกมันยังบอให้ย้ายไปคลอดที่บ้านจะได้ไม่เสียเงินเยอะ แต่หมอกลับบอกจะย้ายทำไมใกล้จะคลอดแล้ว ตกลงอีพยาบาลคนนั้นมันเป็นอะไรมากหรือเปล่า บอกไว้เลยเดี๋ยวมึงเจอกู ไปที่ไรไล่ทุกทีด่าทุกครั้ง อีสันขวานจรรยาบรรณในวิชาชีพมีเปล่า หมอพูดแนะนำดีแต่พยาบาลเหี้ยมากมึงต้องเจอกู,1
^สะดวก สะอาด ปลอดภัย ใส่ใจบริการ^,5
เคยไปบริจาคเลือดเจ้าหน้าที่ต้อนรับดี,5
มาคลอด3คนและถ้าไม่ดีคงไม่มา,4
วันนี้ไปโรงพยาบาลนอนรอตั้งแต่ 2 ทุ่มจน 4 ทุ่มก็ยังไม่ได้รักษาเลยนะคะ เพราะโดนแซงคิวอ่ะค่ะ ทำไมไม่ตามคิวล่ะคะรอ 2 ชม เลยนะคะโมโหมากเลย ปรับปรุงด้วยนะคะมาก่อนแต่โดนแซงคนมาทีหลังรักษาเส็ดจนกลับบ้านและนี่ยังไม่ได้ทำไรเลย คือถ้าตามคิวแล้วยังช้าก็พอเข้าใจนะคะแต่นี่นอนรอ 2 ชม. เพราะโดนแซงอ่ะค่ะ ปรับปรุงด้วยนะคะ!!!! (พยาบาลเป็นคนแซงคิวให้คนอื่นก่อนค่ะที่รู้เพราะรอนานแล้วให้ป้าไปดูให้ค่ะ),1
ขอกราบขอบพระคุณ คุณหมอ พยาบาล และเจ้าหน้าที่ที่เกี่ยวข้อง ของตึกข้าราชการตำรวจ สูตินารีเวช เฉลิมพระเกียรติ กาญจนาฯ ฯลฯ ที่ให้ความสะดวกสบาย ให้การดูแล ให้ความเข้าใจเป็นอย่างดี ในการปฎิบัติหน้าที่พาผู้ต้องขังไปรับการตรวจรักษา และเข้าเวรฯ เฝ้า ผู้ต้องขังนอนรักษาตัวเป็นคนไข้ใน ของเจ้าหน้าที่ราชทัณฑ์ (ผู้คุม)มาโดยตลอดค่ะ,5
ไปบ่ถึกตอ้งนังแท๊กซีมา..โอ้เปิด11.00น.ขอบอก,5
รับการรักษาเพราะความจำเป็น ถ้ามีโอกาสเลือกได้ ก็จะไม่เลือก รพ. นี้,3
ถุย........ย,1
ถ้าไม่มีคุณเราคงแย่ ต่อให้คนไข้เยอะขนาดไหนคุณหมอและพยาบาลยังยิ้มแย้มแจ่มใส เอาใจใส่คนไข้ดีมากๆ,5
ทั้งพยาบาลทั้งหมอปัญญาอ่อนระดับเดียวกันเลย ! พยาบาล 0.2/10 พูดจาเหี้ยมาก พูดไม่ชัด พูดเบา พูดจาได้ส้นตีนมาก หมอ 0.1/10 วิเคราะห์ได้เหี้ยมาก เจ็บหัวเข่ามาหลายปี ให้ยาแก้อักเสบมากิน. สรุปค่ายาแก้อักเสบ 490 บาทไทย ~ (ตรวจเป็นหรือเปล่า ?) จับฉลากมาเป็นหมอใช่ไหม ? ตอบ !!,1
หมอเก่งมากค่ะลูกชายผ่าไทรรอยด์ด้วยการส่องกล้อง1วันผ่านไปก็ฟื้นตัวเร็วมากพยาบาลที่ห้องพิเศษก็ดูแลเป็นอย่างดี,4
ดีๆๆๆๆ,5
ลูกเราเกิดที่นี้ทั้ง4คนก็บริการดียู่,2
พยาบาลใจดีทุกคนเลยผมนี่ยังอยากกลับไปนอนโรงบาลนี้อีกลอบเลยครับ,5
ทุกอย่างโอเคดี แต่แผนกฉุกเฉินกะดึก พวกที่นั่งโต๊ะข้างหน้าที่ติดต่อเนี่ยที่เป็นตุ๊ดนิสัยต่ำมากๆพูดเลย,2
ฝ่ายรับยาพูดจาดีมาค้ะ ส่วยอีจุดต้องรับเนี่ยพูดจาแย่มาก แล้วก็ฝ่ายฉุดฉิบ,4
คุณหมอฉุกเฉินบริการดีมากคะ เว้นแต่ เจ้าหน้าที่ตรงฝ่ายต้อนรับ ขี้นินทาคนไข้ พูดจาเหวี่ยงวีน โดยเฉพาะคนที่เป็นตุ๊ดตัวอ้วนๆ อบรมเจ้าหน้าที่บ้างก็คงจะดีกว่านี้,2
ดีครับ.... ...............................,5
ห้องพิเศษดีมากสมราคา แต่คนไข้แอดมิดไม่มีกระเป๋าของใช้ให้เลย พยาบาลอัธยาศัยดีมาก,4
เราว่าโรงบาลนี้โอเครนะ ฝ่ายสูตินารี บริการดีมาก ชอบเลย ฝากที่นั่น คลอดที่นั่น ใส่ใจคนไข้ดี,4
เราเคยไปรักษามาดีมากตอนนี้เตรียม ไปรักษาอีกแล้วป่วยอีกแล้วต้องไปฝาก ชีวิตอีกรอบหนึ่ง,5
หาที่จอด ยาก สัสๆ ขนาดตำรวจ นะเนี่ย รปภ. แม่ง ยังไล่,1
ก็ถือว่าดี ระดับหนึ่งโดยเฉพาะแผนกฉุกเฉินถือว่าดีเยี่ยม,5
ใช้บริการมาตั้งแต่อยู่มัธยม,4
บริการดี..^_^,5
ทำงานช้า ไม่สนใจคนไข้ แย่ๆๆๆๆ รุ้สึกไม่พอใจ เปลี่ยนแน่นอนไม่มาใช้สิทที่นี่แน่,1
ลูกทั้ง2คนไม่สบายหนักนอนโรงพยาบาลคุณหมอกับคุณพยาบาลดูแลดีมากค่ะพูดจาไพเราะน่ารักขอบคุณมากนะคะ,5
คุณหมอ และพยาบาลที่นี่กันเองดีมาก พูดจาก็เพราะ (จพง.เฝ้าป่วย รจพ.กทม.),5
ดีเยี่ยม,5
สุดยอดโรงพยาบาล,5
บริการดีนะ ...แต่รักษาไม่ดีขึ้นเลย เจ็บขึ้นทุกวัน..,1
ไม่รู้ดิเพื่อนว่าดีก็คงจะดี,5
กูบอกคำเดียว ห่วยแตก เด็กปวดไส้ติ่งนอนจะตาย หมอไม่ทำเหี้ยไรเลย คิดว่าไม่มีปัญญาจ่ายหรอ,1
บริการดี สุภาพ พูดจาดี พยาบาลเอาใจใส่คนไข้ดูแลให้ความสะดวก แม้ว่าจะดึกแค่ไหน,5
หมอเก่ง พยาบาลเป็นมิตร แต่ที่จอดรถมีน้อยต้องมาแต่เช้า,4
อะไรที่เป็นของราชการน่าจะรอนานมากทากเลยเปนคนไปมาหลายจังหวัดอยู่แล้วเดิทางตลอดแม้แต่หาดใหญ่,3
ลูกปวดไส้ติ่งที่นี่บริการดีจริง ไม่เข้าใจตรงไหนถามได้พูดจาดี ขอบคุณจริงๆ ขอให้บริการเป็นที่พึ่งประชาชนต่อไปครับ,5
คุนหมอพูดเพราะ น่ารัก บริการดีเกือบทุกคนเลยค่ะ /รปภ.ควรปรับปรุงนิสนึงน๊ะค่ะ,4
แย่ทุกอย่างคะจบไม่โอเครทุกอย่างคะช้าๆๆๆๆมากหน้าตาพนักงานก็เหมือนเมนส์ไม่มาคะ,1
คลอดลูกสาวคนโตที่นี่คะบริการดี ราคาพอไหว.,5
แค่เดินผ่านเฉยๆ,5
พยาบาลพูดจาห่วยแตก่หมาไม่แดกมากๆครอบครัวแฟนของพี่สาวเราเดินทางมาเที่ยวที่ไทยแต่เกิดอุบัติเหตุรถตุ๊กๆคว่ำถูกนำตัวไปรักษาที่ร.พ.ตำรวจและจะขอย้ายไปร.พ.กรุงเทพแต่พยาบาลร.พ.ตำรวจพูดจาดูถูกมากๆว่ารู้มั้ยว่าร.พ.กรุงเทพมันแพงมากจะมีตังจ่ายหรออย่างนู้นอย่างนี้แล้วตลอดเวลาที่รักษาก็พูดจาหมาไม่แดกเอาง่ายๆว่าดูถูกอ่ะและก่อนย้ายมาร.พ.กรุงเทพก็จ่ายค่ารักษาของร.พ.ตำรวจ3แสนกว่าเกือบสี่แสน นี่หรอไม่มีปัญญา เค้าเปนแขกบ้านแขกเมืองแท้ๆแทนที่จะต้อนรับดีๆ เสือกพูดจาดูถูกคนอื่นซะงั้น ดีออก,1
อยากทราบว่าฝากครรภ์พร้อมตรวจสุขภาพพ่อและแม่ของเด็ก ใช้ค่าใช้จ่ายประมาณเท่าไหร่ค้ะ,5
บริการดีมากค่ะ ใส่ใจ ถึงคนไข้จะเยอะก็พูดจาดี คุณหมอน่ารักพูดจาดีสนใจคนไข้ ประทับใจที่สุด,5
มีคนป่วยเยอะมากๆ ดีที่มีดนตรีสดเล่นให้พังกันนะคราฟ!!!!,5
มารับการบริการทางการแพทย์ที่นี่ประทับใจทั้งแพทย์ พยาบาล มีความเป็นกันเอง ดูแลคนไข้เป็นอย่างดี เครื่องมือก็ทันสมัย,4
เคยใช้บริการตอนคลอดลูพอใช้และดีไม่ถึงกับดีมากเพราะบางคนไม่มีจิตอาสาและจรรยาบันในหน้าที่ถึงเลือกประติบัติกับผู้ป่วยที่ไปใช้บริการแต่แพทเก่งคะ,3
เลือกปฎิบัติ,2
ไปครั้งแรกทำใจแล้วค่ะ คิดว่าต้องเสียเวลาทั้งวันแน่ๆ ผิดคาดค่ะ เสียเวลาเพียงครึ่งวัน ได้ทำคลื่นไฟฟ้าสมอง และultrasound สมอง. ไม่ผิดหวัง ลบภาพพจน์ระบบราชการแบบเดิมๆ ไปเลยค่ะ,5
บริการดีมากๆครับเป็นกันเองดุจญาติ,5
ไปหาหมอมาแล้วดี,5
ผมไปตรวจร่างกายไปทำงาน จนท เขาก็บริการดีและสุภาพเรียบร้อยดีครับ,5
รู้สึกดีคุณหมอและพยาบาลไห้การรักษาดีมากขอขอบคุณคุณหมอและพยาบาลมากค,5
ดีดี มั่กเลย,5
อยากทราบว่าฝากท้องต้องไปวันไหนค่ะ รึว่าไปได้ฝากได้เรย,3
พูดได้คำเดียวห่วยมากๆๆๆ,1
ก็ดีน่ะ,5
ทุกคนใจดีมาก,5
ประท้บใจที่สุดและขอบคุณผู้บริหารที่ใช้งบเพื่อการฝึกอบรมผู้ดูแลผู้สูงอายุหลายๆรุ่นพวกเราออกไปรับใช้ประชาชนแล้วเรียบร้อยค่ะ,5
การให้การบริการดีครับใช้เวลาไม่นานอย่างที่เราคิดการเดินทางใช้รถยนต์นั่งสาธารณะไม่ต้องไปหาที่จอดครับ,1
ตอนแรกนึกว่าบริการไม่ดีแต่เมื่อ2 สัปดาห์ก่อนพ่อผมไปผ่าตัดเส้นเลือดหัวใจตีบ ปรากฏว่าผ่านพ้นๆปด้วยดีหมมอที่นี่เก่งและมีความเชี่ยวชาญมาก พยาบาลก็ดี อัธยาศัยดีมาก โดยเฉพาะพยาบาลที่ตึกแอ๊คโค่หัวใจชั้น6 ห้องICU ดูแลเอาใจใส่ดีมาก นิสัยดีและน่ารักทุกคน ผมให้5ดาวเลยครับ,5
ตำรวจก็ต้องดูแลตำรวจก่อนนะครับจะได้รีบไปรับใช้พี่น้องประชาชนครับพี่น้อง,5
เคยพาพ่อมารักษานะ พยาบาลใจดีค่ะ พ่อใส่เฝือกที่ขาเพราะอุบัติเหตุรถชน พักอยุ่เป็นเดือนเลยบริการดีค่ะ,4
