comment,score
"พยาบาลใจดีมากเลยค่ะ ดูแลและบริการดีส่วนคุณหมอดีมากเลยค่ะรักษาตรงจุด ให้ยาตรงกับโรคที่เป็นตอบคำถามเข้าใจง่าย ใช้ภาษาทั่วไปทำให้คนไข้เข้าใจง่ายขึ้น บริการด้านอื่นๆก็ดีค่ะ
เวลามีข้อสงสัยถามพยาบาลมากๆ เขาไม่ดุค่ะเต็มใจตอบไม่ชักสีหน้า คำให้เรารู้สึกกลัว คำตอบที่ได้ก็จะคอยให้กำลังใจ ลดความเครียดไปได้มากๆเลยค่ะ",5
"ให้บริการตอบคำถามดีเยี่ยมเลยค่ะ
ประทับใจในระดับหนึ่ง
ขอบคุณนะคะที่แชร์ความรู้และเป็นแนวทางให้ค่ะ
มีประโยชน์มากๆเลยค่ะ
ถ้ามีอะไรไม่สบายใจหรืออยากปรึกษาจะเข้ามาปรึกษาที่นี่แหละค่ะ 
ให้คำปรึกษาถือว่าโอเคเลยค่ะ ใจชื้นในระดับนึง
แถมไม่ต้องไปถึงโรงพยาบาลจริงเลยค่ะ เพื่อวันไหนไม่มีเวลาว่างไป ขอบคุณนะคะ",3
คุณหมอเป็นกันเองไม่เกรงจนเกินไป และคุณหมอก็ยังรักษาดี ส่วนพยาบาลที่ดีก็เอาใจใส่คนไข้เป็นอบ่างดีไม่เคยมีคนไข้คนไหนโดนดุหรือด่าว่าเลยค่ะ ดิฉันจึงชอบโรงพยาบาลที่นี้เปนอย่างมาก อยากให้ทุกคนได้มารักษาที่นี้ดูนะคะเพราะว่าดีมากๆเลยค่ะ รวมถึงค่ารักษาของที่นี้ก็ไม่แพงมากเกินไปเลยค่ะ อยากจะให้ทุกคนุ่าเจ็บป่วยต้องมาโรงพยาบาลนี้เท่านั้นนะคะ เพราะว่ามีนดีมากจริงๆค่ะ,4
การรักษาก้เป้นไปได้ดี.การเจอหมอดี.เหมือนถูกหวยชุดใหญ่.การตรวจ.โรคแต่ละอย่าง.บางทีก้น่ากัว.ผมคนนึงที่กัวการรักษา.แบเจาะโน้นนี้นั้น.แต่.รพ.บ้างแห่ง.ไม่เหมือนกัน.หมอแต่ละคนก้ไม่เหมือนกัน.ส่วนมากจากเจอ.หมอนักศักษา..แต่หมอเอกชน.จะรักษาดีหน่อย.ส่วนรัฐก้แล้วแต่จะเจอหมอแบบไหน....สรุป.รพ.รัฐ.รอนาน.เอกชน.รอไม่นาน.การรักษาคลายกัน.แต่ยาต่างกัน,3
"พ. ตามระดับของเงินอะจ้ะ

                พอดีเมื่อเดือน พ.ค. 60 จู่ๆก็ปวดท้องแน่นหนักมาก นึกว่าอาหารไม่ย่อย และถ่ายไม่ออก เลยกินยาธาตุน้ำขาวไปก็ปวดหนักกว่าเดิม ไปหาหมออายุตึก 2 เค้าบอกว่า ท้องอาจมีปัญหา เลยให้ยาถ่าย ยาแก้ปวดท้อง กับยาระบายมากินชั่วคราวก่อนนัดเจอหมอทางเดินอาหาร (ใช้ประกันสุขภาพ AIA จ่าย) หมดค่ายาไปร่วม 800 ค่าหมอ 600 ค่าพยาบาล 200 บ. พอกินยาแก้ปวดท้องก่อน ไม่หายจ้าา กินแล้ว ปวดหนักขึ้นถึงขั้นหมดสติ ต้องนำส่งร.พ. ตอนเย็นวันเดียวกัน 

            ตอนส่งร.พ. ไปพบ OPD ประกันสังคม ไม่ทันได้ดูหน้าหมอ เลยซวยได้หมอสาวผู้หญิงมาอะ  ปกติเวลาเรามาหาหมอนะ เราจะเดินเลือกหมอก่อนเลย เราไม่พบหมอที่มาใหม่ และเป้นหมอแก่ หมอผุ้หยิง เด็ดขาด เพราะการรักษาของเค้าแปรปรวนมากๆ  เดวให้ยาผิด ให้ยาถูก ให้ตามกรอบของวงเงินที่กำหนดไว้ มักได้ยาถูกๆหน่อย ถ้ายาไม่ถูกและยาดีมักไม่ค่อยได้อะ   แถมมีข้อจำกัดในการสั่งยาแพง ยาอันตรายด้วย เคยเจอหมอผช. (หมอเวรชั่วคราวจากจุฬา) สั่งยาอันตรายกับยาที่รักษาให้ไม่ได้ต้องส่งต่อไปให้หมอเฉพาะทางเท่านั้น หมอ OPD ไม่มีสิดจ่ายยาพวกนี้เลย (ยาพ่นแบบพิเศษมีจำกัดการให้ ,เคสยาพ่นนี้ต้องเจอ OPDประกันสังคม หมอ 2 ราย หมอเวรER 1 รายจึงจะได้พบหมอเฉพาะทางเพื่อเอายาพ่นตัวเดียว)  เอาละเข้าเรื่อง พอเจอหมอหญิง เราบอกปวดท้องแน่นอึดอัด เหมือนถ่ายไม่ออกแล้วก็ปวดบีบหนักเหมือนค้อนทุบตื้บๆ เหนือสะดือเป้ะ (หมอ ER เก่งๆ บอกลำไส้ต้นๆมีปัญหา) หมอสาวไม่ถามไรมากว่าเราเป็นอะไร ถามว่ากินอะไร เราบอกแค่สลัด ในห้าง เอสพลานาด (คงรู้จักกันเนอะมีเจ้าเดียว)  และหมอบอกว่า ติดเชื้อในลำไส้ อาหารเป็นพิษ  (ไม่รู้วิเคาะตรงไหน จับท้องก็ไม่จับ ไม่ส่งตรวจอะไรเลย)  แต่เราไม่เชื่อ เพราะแฟนเราก็กินด้วยกัน กินพร้อมกัน กลับไม่เป็นอะไรเลย  แล้วนางก็สั่งฉีดยาแก้ปวดเข้าเส้น แล้วดูอากการที่ ER (ไปตอนทุ่มนิดๆใกล้ปิดละ)  พอฉีดไม่ถึงนาที กลับปวดท้องหนักขึ้น และก็มีอาการอ้วก ขย้อนออกมาหมดเลย  ตัวเราไม่ได้กินอะไรเข้าไป (เพราะตอนกลางวันกินอะไรม่ได้เลย กินไปนิดเดียวแล้วอึดอัดคลื่นไส้) แต่เหมือนกะเพาะต้องการขย้อนอะไรไม่รู้  ขย้อนออกมาแต่น้ำลายยย  นั่งเฉยๆ หายใจธรรมดาก็อ้วกขย้อนออกมาได้อะ นับเเกือบชั่วโมงได้ (ตอนอ้วก เรามารอตรวจหมอ ER อีกทีตามความประสงค์หมอ OPD ประกันสังคม) 

      ตอนนั่งรอ ER เนี่ยะ รอตอน 2 ทุ่มครึ่ง  อ้วกแล้วอ้วกอีก อ้วกแต่น้ำลายออกมา .. (ช่างดีงามค่ะ  อ้วกจนปวดกะเพาะเจ็บซี่โครงไปหมด) หมอก็กำลังวุ่วายกับเคสอุบัติเหตุรถชน (มั้ง) อยู่ หมอรุมมะรุมกันนานมากจน 4 ทุ่มอะ  (เป็นครั้งแรกที่เจอเคสคนเจ็บหนักถึงขั้นหมอรุม พยาบาลรุมขนาดนี้ครั้งแรก) เจอหมอชายใส่แว่น (หน้าตาดี) อธิบายแกว่า ปวดท้องมาอึดอัด ถ่ายไม่ออก  และได้ยาแก้ปวดฉีดเข้าเส้น แล้วมีผลข้างเคียงอ้วกๆๆ จนไม่มีให้อ้วกละ  แล้วหมอถามว่า นอกจากกินแล้ว กินยาอะไรบ้างไหม บอกหมอไปว่า กินคร้าา กินยาคลายกล้ามเนื้อ และยานอนหลับอยู่คร้าาา  หมอเลยบ่นเลยว่า ทำไมกินยาเยอะขนาดนี้คร้าาา  มันไม่ดีมันไปทำกะเพาะเคือง และลำไส้ต้นเคืองๆอักเสบน้าาา  แล้วหมอเห็นว่าอาการไม่ดี เลยให้ แอดมิทเข้าร.พ. .. 

          พบหมอจบปุ้ป รอพยาบาลมาเจาะเลือด และเจาะน้ำเกลือ (เดาว่าหมอคงสงสัยติดเชื้อแหละ) รอพยาบาลจน 5 ทุ่มได้เจาะ และรอจนท.ห้องมาขอเตียง เตียงที่นี่ ถ้าใช้สิดประกันสังคม ห้องรวม 8 คน คิด 900 บาทตามสิดค่ะ  เห็นจำนวนแล้ว สยอง แค่เตียง 4 เรายังเพลียจิต มาเจอเตียง 8 นับว่าไม่เคยเจอที่ร.พ.ไหนมาก่อนคะ เลยเอาห้องเดี่ยว 4200 บ. เอาจริงๆ อยากได้ห้องถูกๆนะ แต่ห้อง 2 เตียงก็ 3800 ละ เลยไม่เอาดีกว่า  ถ้าห้อง 4 เตียง ตามสิดปะกันสังคมจ่าย 900 ก็พอจะไปอยู่ได้ อะ ขนาด ร.พ.แพงๆบำรุงราด(แม่ใช้ประกันสังคมที่นี่นอน 4 เตียง) เตียง 4 ยังแทบไม่ต้องจ่ายค่าห้องพักเลย   เจอราคาห้องแล้ว นับว่าแพงมาก ห้องเล็กกว่า ร.พ.รามคำแหงที่ห้องเดี่ยว4 พัน เล็กมากกก ...  จนแบบร.พ.นี้มันยังไง คนก้มาใช้เยอะ แต่ค่าห้องแพงเกิน แพงผิดมาตรฐานปกติของเกรดร.พ. ทั้งที่เกรดร.พ.นี้เราตีว่า อยู่ในเกรดกลางๆ ไม่ดีเท่าพระราม 9 เวชธานี รามคำแหงอะ แต่ค่าห้องแพงกว่า ร.พ.เหล่านี้อีก  (อึ้งจนพูดไม่ออก)  ยังไม่นับ จนท.ห้อง ที่ เร่งให้เซ้นเอกสารให้ยอมรับค่าใช้จ่ายและความผิด กรณีอยู่ร.พ. (จำไม่ได้ละ อ่านยังไม่จบ แยกเอกสารไปจากมือแล้ว ให้รีบๆเซ็น) แต่สายตาเรากวาดคร่าวๆแล้ว ยอมรับว่า ถ้าคนเป็นโรคหนักๆ จะเสียเปรียบทันที  แต่บังเอิญเราเป็นโรคไม่หนัก เลยไม่เสียเปรียบ เท่าไร ยอมรับได้คะ    ค่าห้องที่นี่ มารวมประกันสังคมแล้วหักก็แพง เลยต้องใช้ประกันสุขภาพ AIA มาจ่ายค่าห้องด้วยเสริมไปแต่ก็ยังไม่พอเลยต้องจ่ายเงินสดเองที่เหลือคะ ..

         มาถึงห้องเดี่ยวตอนเที่ยงคืน มีหมอใส่ชุดเขียว (คาดว่าออกจากห้องผ่าตัดมา)  มาตรวจอาการ และต้องเล่าอาการรอบที่ 3 ก็ได้น้ำเกลือ และยาฆ่าเชื้อ หลับไปยาวๆ มาตื่นอีกที ตอน 6 น. ถ้าถามถึงบริการ ก็เฉยๆ อะ มาวัดความดันเป็นเวลาพอเข้าใจ แต่มารบกวนเวลานอนทุก 4 ชม. โดยมีทั้งให้ยา ให้น้ำดื่ม มาถามนู่นนี่นั้น จนไม่ต้องนอนอะ   เช้ามาก็มีอาหารมาบริการดีนะ เป้นเวลาปกติ อาหารที่นี่อร่อยคะ  น่าเบื่อตรงพยาบาล มาวัดความดัน แทนที่จะเอายามาให้ด้วย ก้ไม่เอามา มากันคนละรอบสองรอบ รำคาญสุดๆ   แต่หมอที่เป็นหมอประจำเรา คือ หมอสาวสวยจากแผนกเฉพาะทาง (ที่หมอท่านนี้มาดูแล เพราะก่อนนี้เคยมาเจอหมอเรื่องอาการกล้ามเนื้อ เลยได้มาดูแลเรา)  เพราะได้หมอคนนี้ เฉพาะทางอาการเลยดีขึ้น แต่ก็ต้องบอกว่า เพราะเค้าไม่ใช่เฉพาะทางสายทางเดินอาหารนะ แต่เป้นสายอะไรจำไม่ได้ละ ...ก้ได้แต่ยาฆ่าเชื้อมา ให้ทางเส้น 2 ขวดจนที่ปวดเหนือสะดือหายปวดแหละ แต่มาเจอปันหากะเพาะอาหารแทน ..ก้เรื่อยๆ อยู่ 3 วันอะ 


      ตอนจะออกจากร.พ. นี้นะ มาเจอค่าห้องค่ายา 3 วัน 2 คืน ประมาณ 15000 มั้งนะ ถ้าจำไม่ผิด .. โดยรวมถ้าไม่นับการวินิจฉัย หมอ OPD ที่งี่เง่า  ..ให้ยาจนหนักขึ้น และบริการธรรมดาๆ แต่ราคาห้องแพงเท่า ร.พ.รามฯ  ที่เหลือก็ประทับใจหมอ ER ที่สุดละคะ  หมอ OPD สาวนี่แย่มาก ส่วนอื่นๆ พอมาดูราคาที่ต้องจ่ายแล้ว และราคาทุกอย่าง มีจ่ายค่าหมอให้ หมอ OPD ไปตามสัดส่วน หมอ OPD ได้ 30   หมอ ER ได้ 80  หมอตรวจตอนมาห้องเดี่ยวได้ 50 หมอประจำได้ 300 - 600 อะนะ ค่าหมอ มีจ่าย ทั้งหมด รวม 2 พันได้ ค่าพยาบาล วันละ 200 - 600 (ข้องจค่าพยาบาลสุดๆ)  ค่ายาก็แพงดี ได้ยากะเพาะไป 2 เม็ด หลังอาหารเที่ยง ยานอนหลับ 1 เม็ด น้ำเกลือ 4 ถุง ยาฆ่าเชื้อ 3 ถุง ก็แพงเอาการอะ คิดที่ 3 - 4 พันนี่ละ ถ้าจำไม่ผิดนะ นอกนั้นก็มีค่าอุปกรณ์ (เข็ม แผ่นสก้อต ฯ) รวมพันกว่าๆ ค่าเอ็กซะเรย ค่าแล้บอีก 2 - 3 พันนี่ละ   ราคา 2 วันมหาโหดราวๆ 15000 นี่ก็นับว่าแพงเอาเรื่องนะคะ ...ดีที่ประกันสังคมจ่ายให้แล้วรวมกับประกันสุขภาพ AIA(สำหรับใช้ค่าห้อง) เลยได้มาจ่ายเงินสดเพิ่มอีกราวๆ  3 พันอะ ...

เป็นการมาร.พ. ที่เสี่ยงตาย และเสียเงินแพงดีที่เดียวค่ะ 

คุณภาพร.พ. นี้ ถ้าไปประกันสังคม เหมือนคนไข้อนาถาอะ  ถ้ามาจ่ายเงินหรือใช้ประกันสุขภาพนิ ระดับดีขึ้นมาหน่อยนุง เราก็เลยมองว่า การรักษาที่ดี อาจจะอยู่ที่ตัวเงินนะ  เงินน้อยก็ไม่ค่อยเต็มใจรักษา เงินเยอะนิ แทบถวายตัวมารักษา .. ส่วนตัวใช้ทุกสิทธิร.พ. นี้ ทั้งประกันสังคม ประกันสุขภาพ และอนาคตจะเพิ่มประกันส่วนตัวอีก คิดว่า ถ้าอยากหายและรอด และไม่ต่ายไวจากการรักษาผิดพลาด (แบบหมอสาว OPD ) เราว่า เราคงต้องเสียเงินอะนะ 


ก็จบการรีวิวเท่านี้คะ หากครั้งหน้ามีเข้าร.พ.อีกจะมารีวิวให้ทราบนะ  (ร.พ.นี้ค่อนข้างกลัวการถูกถ่ายรูปและถ่ายวิดีโอขณะอยู่ในร.พ.มากๆ มีป้ายติดทั่วร.พ.เลย ..ร.พ.อื่นไม่ยักกะมี เหมือนกลัวถูกร้องเรียนเยอะมั้ง)  

ปล.อย่าให้พลาดมาเจอเราแล้วรักษาผิดนะ รับรอง มีเละ ต่อให้เป็น แพทย์สภาก้เถอะ ..ปกป้องให้ตายก็เสียเวลา บอกให้ ..",4
เคยไปส่งคนไข้ที่โรงพยาบาลแห่งนี้ เมื่อประมาณ 4 ปีก่อน รู้สึกว่ารพ.ของภาครัฐ เปลี่ยนแปลงไปมาก มีความสะอาดมากขึ้นมาก แม้กระทั่งห้องน้ำ(ดูแลได้ดี) เจ้าหน้าที่ดูจะค่อนข้างน้อยไป ดูแลคนไข้ไม่ค่อยทันเท่าไร รอคุณหมอค่อนข้างนานกว่าจะมาตรวจ เมื่อได้รับการตรวจได้เห็นสภาพห้องตรวจที่สะอาด มีป้ายชี้บ่งที่ชัดเจน สวยงาม คุณหมอก็พูดจาดี พยาบาลที่มาตรวจเลือด วัดความดัน ก็บริการดีมากครับ ไม่พูดจาไม่ดี(แบบขวานผ่าซาก เหมือนประสบการณ์เดิมที่เคยพบเจอมา) ทำให้รู้สึกว่ามีความเปลี่ยนแปลงในทางที่ดีขึ้นมาก นอกจากนี้ที่จอดรถก็ใหญ่กว้างขวางมากครับ,4
"เป็น รพ. ที่รับ เหตุฉุกเฉินได้ดี เห็นได้จาก พี่สะใภ้ของฉัน เกิดมอเตอร์ไซค์ชน ถังขยะ พอไปถึงโรงพยาบาลก็อุ่นใจ เจ้าหน้าที่ว่องไวมาก ตอนนั้นเหตุเกิดที่ นวมินทร 54 ก็โบกแท็กซี่ไป ถึงโรงพยาบาล ก็ประมาณ 15-20 นาที การพักรักษาตัว ห้องสะอาด และ มีการดูแลอย่างดี 
มีคำแนะนำจากแพทย์ และ พยาบาล ก่อนที่จะให้กลับไปรักษาตัวต่อที่บ้าน ตอนนี้หายดีแล้ว และพี่สะไภ้ก็ไม่ขี่มอเตอร์ไซค์ อีกเลย",3
"เป็น รพ. ที่รับ เหตุฉุกเฉินได้ดี เห็นได้จาก พี่สะใภ้ของฉัน เกิดมอเตอร์ไซค์ชน ถังขยะ พอไปถึงโรงพยาบาลก็อุ่นใจ เจ้าหน้าที่ว่องไวมาก ตอนนั้นเหตุเกิดที่ นวมินทร 54 ก็โบกแท็กซี่ไป ถึงโรงพยาบาล ก็ประมาณ 15-20 นาที การพักรักษาตัว ห้องสะอาด และ มีการดูแลอย่างดี
มีคำแนะนำจากแพทย์ และ พยาบาล ก่อนที่จะให้กลับไปรักษาตัวต่อที่บ้าน ตอนนี้หายดีแล้ว และพี่สะไภ้ก็ไม่ขี่มอเตอร์ไซค์ อีกเลย",5
พ่อเคยไปรักษาค่ะ ส่งเรื่องเร็วมาก และใส่ใจผู้ป่วยดีมากค่ะ มีการรักนัดษาอย่างต่อเนื่องโดยคุณหมอเจ้าตรงเวลาตรวจเร็ว ใช้บัตรทองก็รักษาเร็วค่ะตอนนั้นคุณพ่อเป้นหัวใจก้ส่งต่อไปปิยะมินส่งต่อรวดเร็วทันใจมากค่ะ บัตรทองสามารถไปใช้บริการได้ค่ะบริการดี พยาบาลก็ดีค่ะทำงานรวดเร็ว คุณหมอก็รักษารู้เห็นผลเร็วค่ะ อยากให้ทุกคนไปใช้บริการเยอะเยอะค่ะ รพ ทำงานเร็วดีมากค่ะ ยิ่งผู้ป่วยฉุกเฉิน,5
โรงพยาบาลมีความสวยงาม ทางเดินตามตึกต่างๆมีสภาพดี แถมยังให้บริการดีมากๆเลยค่ะ บุคคลากร เจ้าหน้าที่ต่างๆให้ความสนใจแก่คนไข้ดีมาก ยอดเยี่ยมสุดๆไปเลยค่ะ นับว่าเป็นโรงพยาบาลที่ดีที่หนึ่งของเมืองไทยเลย แม้ว่าคนไข้จะเยอะมากขนาดไหน แต่ทุกคนยังปฏิบัติหน้าที่ได้อย่างมืออาชีพ แถมคุณหมอก็เก่งมากเหมือนกัน เป็นโรงพยาบาลที่มีคุณภาพที่ดีเยี่ยมจริงๆค่ะ,4
โรงพยาบาลมีความสวยงาม ทางเดินตามตึกต่างๆมีสภาพดี แถมยังให้บริการดีมากๆเลยค่ะ บุคคลากร เจ้าหน้าที่ต่างๆให้ความสนใจแก่คนไข้ดีมาก ยอดเยี่ยมสุดๆไปเลยค่ะ นับว่าเป็นโรงพยาบาลที่ดีที่หนึ่งของเมืองไทยเลย แม้ว่าคนไข้จะเยอะมากขนาดไหน แต่ทุกคนยังปฏิบัติหน้าที่ได้อย่างมืออาชีพ แถมคุณหมอก็เก่งมากเหมือนกัน เป็นโรงพยาบาลที่มีคุณภาพที่ดีเยี่ยมจริงๆค่ะ,5
ผมไม่ค่อยได้กินอะไร มาโรงบาลนี้ก็ดีครับ การดูแลดีมีอะไรให้ทำไม่เหงา หมอชวนคุยดีีมากครับบริการของหมอและพยาบาลดีมากค่ะ พยาบาลพูดจาดีค่ะ น่ารักเป็นกันเองมาก หมอก็รักษาดีค่ะ หายเร็วมาก อาหารที่รพ.ไม่ค่อยอร่อยแต่ในโรงพยาบาลมีร้านอาหารกับเซเว่น มียามมีแม่บ้านค่อยดูแลตลอดคนที่เอา สถานที่ห้องพักสะอาดดีแอร์ค่อนข้างเย็น จากที่สังเกตคนไข้คนอื่นเวลาจะเดินไปแผนกไหนจะมีพยาบาลเดินพาไปตลอดแต่ด้วย,4
บริการของหมอและพยาบาลดีมากค่ะ พยาบาลพูดจาดีค่ะ น่ารักเป็นกันเองมาก หมอก็รักษาดีค่ะ หายเร็วมาก อาหารที่รพ.ไม่ค่อยอร่อยแต่ในโรงพยาบาลมีร้านอาหารกับเซเว่น มียามมีแม่บ้านค่อยดูแลตลอดคนที่เอา สถานที่ห้องพักสะอาดดีแอร์ค่อนข้างเย็น จากที่สังเกตคนไข้คนอื่นเวลาจะเดินไปแผนกไหนจะมีพยาบาลเดินพาไปตลอดแต่ด้วยความเป็นโรงบาลเอกชนราคาก็สูงตามแต่โดยรวมก็ดีหมดเลย  น่าประทับใจค่ะ เป็นโรงบาลที่จะเลือกใช้บริการตลอด,5
บริการของหมอและพยาบาลดีมาก ตอนนอนพักฟื้นก็มีพยาบาลเข้ามาเช็คมาดูแลตลอดหมอก็เข้ามาเป็นพักๆ อาหารที่รพ.ไม่ค่อยอร่อยแต่ในโรงพยาบาลมีร้านอาหารกับเซเว่น มียามมีแม่บ้านค่อยดูแลตลอดคนที่เอา สถานที่ห้องพักสะอาดดีแอร์ค่อนข้างเย็น จากที่สังเกตคนไข้คนอื่นเวลาจะเดินไปแผนกไหนจะมีพยาบาลเดินพาไปตลอดแต่ด้วยความเป็นโรงบาลเอกชนราคาก็สูงตามแต่โดยรวมก็ดีหมดเลย,4
บริการของหมอและพยาบาลดีมาก ตอนนอนพักฟื้นก็มีพยาบาลเข้ามาเช็คมาดูแลตลอดหมอก็เข้ามาเป็นพักๆ อาหารที่รพ.ไม่ค่อยอร่อยแต่ในโรงพยาบาลมีร้านอาหารกับเซเว่น มียามมีแม่บ้านค่อยดูแลตลอดคนที่เอา สถานที่ห้องพักสะอาดดีแอร์ค่อนข้างเย็น จากที่สังเกตคนไข้คนอื่นเวลาจะเดินไปแผนกไหนจะมีพยาบาลเดินพาไปตลอดแต่ด้วยความเป็นโรงบาลเอกชนราคาก็สูงตามแต่โดยรวมก็ดีหมดเลย,5
