th_comment,en_comment,score
"พยาบาลใจดีมากเลยค่ะ ดูแลและบริการดีส่วนคุณหมอดีมากเลยค่ะรักษาตรงจุด ให้ยาตรงกับโรคที่เป็นตอบคำถามเข้าใจง่าย ใช้ภาษาทั่วไปทำให้คนไข้เข้าใจง่ายขึ้น บริการด้านอื่นๆก็ดีค่ะ
เวลามีข้อสงสัยถามพยาบาลมากๆ เขาไม่ดุค่ะเต็มใจตอบไม่ชักสีหน้า คำให้เรารู้สึกกลัว คำตอบที่ได้ก็จะคอยให้กำลังใจ ลดความเครียดไปได้มากๆเลยค่ะ","Nurses are very kind to me Good service and a very good medical treatment on the spot. Treatment with a disease that is easy to understand answers to questions. Use common language makes it easier for patients to understand. Other services like it
When in doubt, ask a nurse too. He did not scold me willingly answered facial spasms. We feel the fear The answer will always cheer. Reduce stress very much possible.",5
"ให้บริการตอบคำถามดีเยี่ยมเลยค่ะ
ประทับใจในระดับหนึ่ง
ขอบคุณนะคะที่แชร์ความรู้และเป็นแนวทางให้ค่ะ
มีประโยชน์มากๆเลยค่ะ
ถ้ามีอะไรไม่สบายใจหรืออยากปรึกษาจะเข้ามาปรึกษาที่นี่แหละค่ะ 
ให้คำปรึกษาถือว่าโอเคเลยค่ะ ใจชื้นในระดับนึง
แถมไม่ต้องไปถึงโรงพยาบาลจริงเลยค่ะ เพื่อวันไหนไม่มีเวลาว่างไป ขอบคุณนะคะ","It offers excellent answer it.
At one level,
Thank you for sharing your knowledge and guide me.
Very helpful to me
If there is anything uncomfortable or want to consult a counselor to help me.
Counseling is okay too. I relaxed in
You do not have to actually go to the hospital now. To date, I do not have time to appreciate it.",3
คุณหมอเป็นกันเองไม่เกรงจนเกินไป และคุณหมอก็ยังรักษาดี ส่วนพยาบาลที่ดีก็เอาใจใส่คนไข้เป็นอบ่างดีไม่เคยมีคนไข้คนไหนโดนดุหรือด่าว่าเลยค่ะ ดิฉันจึงชอบโรงพยาบาลที่นี้เปนอย่างมาก อยากให้ทุกคนได้มารักษาที่นี้ดูนะคะเพราะว่าดีมากๆเลยค่ะ รวมถึงค่ารักษาของที่นี้ก็ไม่แพงมากเกินไปเลยค่ะ อยากจะให้ทุกคนุ่าเจ็บป่วยต้องมาโรงพยาบาลนี้เท่านั้นนะคะ เพราะว่ามีนดีมากจริงๆค่ะ,"I'm afraid you are not too friendly. And the doctor's treatment. The nurse caring for patients is good, some good has never been a patient person, scolded or abused it. So I like this hospital as well. I want everyone to come see it, because this treatment is a very good question. The cost of this is not too good. I will make every Nuea illness need hospital only. I have very good really.",4
การรักษาก้เป้นไปได้ดี.การเจอหมอดี.เหมือนถูกหวยชุดใหญ่.การตรวจ.โรคแต่ละอย่าง.บางทีก้น่ากัว.ผมคนนึงที่กัวการรักษา.แบเจาะโน้นนี้นั้น.แต่.รพ.บ้างแห่ง.ไม่เหมือนกัน.หมอแต่ละคนก้ไม่เหมือนกัน.ส่วนมากจากเจอ.หมอนักศักษา..แต่หมอเอกชน.จะรักษาดีหน่อย.ส่วนรัฐก้แล้วแต่จะเจอหมอแบบไหน....สรุป.รพ.รัฐ.รอนาน.เอกชน.รอไม่นาน.การรักษาคลายกัน.แต่ยาต่างกัน,"Treatment'm just going to get better. To get good doctor. Like the lottery board. To. The disease either. Maybe I love Goa. I was the one who Goa treatment. Brad penetrate beyond that. But. hospital somewhere. not the same. I'm not the same individual. most come from. a study on Doctor who.. but private doctor. it's a nice little treat. the state will see a doctor but I do ... . conclusion. hospital state. the long wait. Private. wait no longer. the treatment is similar. However, the drug differently.",3
เคยไปส่งคนไข้ที่โรงพยาบาลแห่งนี้ เมื่อประมาณ 4 ปีก่อน รู้สึกว่ารพ.ของภาครัฐ เปลี่ยนแปลงไปมาก มีความสะอาดมากขึ้นมาก แม้กระทั่งห้องน้ำ(ดูแลได้ดี) เจ้าหน้าที่ดูจะค่อนข้างน้อยไป ดูแลคนไข้ไม่ค่อยทันเท่าไร รอคุณหมอค่อนข้างนานกว่าจะมาตรวจ เมื่อได้รับการตรวจได้เห็นสภาพห้องตรวจที่สะอาด มีป้ายชี้บ่งที่ชัดเจน สวยงาม คุณหมอก็พูดจาดี พยาบาลที่มาตรวจเลือด วัดความดัน ก็บริการดีมากครับ ไม่พูดจาไม่ดี(แบบขวานผ่าซาก เหมือนประสบการณ์เดิมที่เคยพบเจอมา) ทำให้รู้สึกว่ามีความเปลี่ยนแปลงในทางที่ดีขึ้นมาก นอกจากนี้ที่จอดรถก็ใหญ่กว้างขวางมากครับ,Had to send patients to the hospital about four years ago felt the hospital sector. Many changes There is much more clean Even the bathroom (great care) staff will see quite a few to go. How patient care can not keep up Rather than waiting for the doctor to be examined. Upon seeing the state exam rooms clean. A sign indicating a clear beautiful doctor was flattering. The nurse blood pressure was very good. Does not speak well (a blunt. Unlike previous experience ever encountered) makes sense if there is a change for the better. The parking lot is spacious.,4
"เป็น รพ. ที่รับ เหตุฉุกเฉินได้ดี เห็นได้จาก พี่สะใภ้ของฉัน เกิดมอเตอร์ไซค์ชน ถังขยะ พอไปถึงโรงพยาบาลก็อุ่นใจ เจ้าหน้าที่ว่องไวมาก ตอนนั้นเหตุเกิดที่ นวมินทร 54 ก็โบกแท็กซี่ไป ถึงโรงพยาบาล ก็ประมาณ 15-20 นาที การพักรักษาตัว ห้องสะอาด และ มีการดูแลอย่างดี 
มีคำแนะนำจากแพทย์ และ พยาบาล ก่อนที่จะให้กลับไปรักษาตัวต่อที่บ้าน ตอนนี้หายดีแล้ว และพี่สะไภ้ก็ไม่ขี่มอเตอร์ไซค์ อีกเลย","The hospital where emergency has been seen by my sister in law. Motorcycle crash caused enough trash to the hospital was reassuring. Staff very nimble At the scene, the Nawamintr 54 was hailing a cab to the hospital for 15-20 minutes, the treatment rooms are clean and well maintained.
With advice from a doctor or nurse before returning to treatment at home. Now recovered Ap superb and I could not ride a motorcycle again.",3
"เป็น รพ. ที่รับ เหตุฉุกเฉินได้ดี เห็นได้จาก พี่สะใภ้ของฉัน เกิดมอเตอร์ไซค์ชน ถังขยะ พอไปถึงโรงพยาบาลก็อุ่นใจ เจ้าหน้าที่ว่องไวมาก ตอนนั้นเหตุเกิดที่ นวมินทร 54 ก็โบกแท็กซี่ไป ถึงโรงพยาบาล ก็ประมาณ 15-20 นาที การพักรักษาตัว ห้องสะอาด และ มีการดูแลอย่างดี
มีคำแนะนำจากแพทย์ และ พยาบาล ก่อนที่จะให้กลับไปรักษาตัวต่อที่บ้าน ตอนนี้หายดีแล้ว และพี่สะไภ้ก็ไม่ขี่มอเตอร์ไซค์ อีกเลย","The hospital where emergency has been seen by my sister in law. Motorcycle crash caused enough trash to the hospital was reassuring. Staff very nimble At the scene, the Nawamintr 54 was hailing a cab to the hospital for 15-20 minutes, the treatment rooms are clean and well maintained.
With advice from a doctor or nurse before returning to treatment at home. Now recovered Ap superb and I could not ride a motorcycle again.",5
พ่อเคยไปรักษาค่ะ ส่งเรื่องเร็วมาก และใส่ใจผู้ป่วยดีมากค่ะ มีการรักนัดษาอย่างต่อเนื่องโดยคุณหมอเจ้าตรงเวลาตรวจเร็ว ใช้บัตรทองก็รักษาเร็วค่ะตอนนั้นคุณพ่อเป้นหัวใจก้ส่งต่อไปปิยะมินส่งต่อรวดเร็วทันใจมากค่ะ บัตรทองสามารถไปใช้บริการได้ค่ะบริการดี พยาบาลก็ดีค่ะทำงานรวดเร็ว คุณหมอก็รักษารู้เห็นผลเร็วค่ะ อยากให้ทุกคนไปใช้บริการเยอะเยอะค่ะ รพ ทำงานเร็วดีมากค่ะ ยิ่งผู้ป่วยฉุกเฉิน,"I had to treat it Submit a lot faster Attentive and patient, very good. He has a love child by continuing your doctor check you time soon. Gold card keeping it faster then your heart's just passed along Piya Min forward very fast. Gold card can use it to serve better. Nurses do it fast You treat it as soon as it sees the results. I want everyone to have a lot of fast Hospital very good. Even emergency patients",5
โรงพยาบาลมีความสวยงาม ทางเดินตามตึกต่างๆมีสภาพดี แถมยังให้บริการดีมากๆเลยค่ะ บุคคลากร เจ้าหน้าที่ต่างๆให้ความสนใจแก่คนไข้ดีมาก ยอดเยี่ยมสุดๆไปเลยค่ะ นับว่าเป็นโรงพยาบาลที่ดีที่หนึ่งของเมืองไทยเลย แม้ว่าคนไข้จะเยอะมากขนาดไหน แต่ทุกคนยังปฏิบัติหน้าที่ได้อย่างมืออาชีพ แถมคุณหมอก็เก่งมากเหมือนกัน เป็นโรงพยาบาลที่มีคุณภาพที่ดีเยี่ยมจริงๆค่ะ,"Hospitals are beautiful The following buildings are in good condition. It also offers a very good staff and officials to pay attention to patients much better. Great deal to me. This is a good hospital, one of Thailand. Although patients do very much. But everyone has to perform their duties professionally. If your doctor is very common. A hospital with excellent quality, really.",4
โรงพยาบาลมีความสวยงาม ทางเดินตามตึกต่างๆมีสภาพดี แถมยังให้บริการดีมากๆเลยค่ะ บุคคลากร เจ้าหน้าที่ต่างๆให้ความสนใจแก่คนไข้ดีมาก ยอดเยี่ยมสุดๆไปเลยค่ะ นับว่าเป็นโรงพยาบาลที่ดีที่หนึ่งของเมืองไทยเลย แม้ว่าคนไข้จะเยอะมากขนาดไหน แต่ทุกคนยังปฏิบัติหน้าที่ได้อย่างมืออาชีพ แถมคุณหมอก็เก่งมากเหมือนกัน เป็นโรงพยาบาลที่มีคุณภาพที่ดีเยี่ยมจริงๆค่ะ,"Hospitals are beautiful The following buildings are in good condition. It also offers a very good staff and officials to pay attention to patients much better. Great deal to me. This is a good hospital, one of Thailand. Although patients do very much. But everyone has to perform their duties professionally. If your doctor is very common. A hospital with excellent quality, really.",5
ผมไม่ค่อยได้กินอะไร มาโรงบาลนี้ก็ดีครับ การดูแลดีมีอะไรให้ทำไม่เหงา หมอชวนคุยดีีมากครับบริการของหมอและพยาบาลดีมากค่ะ พยาบาลพูดจาดีค่ะ น่ารักเป็นกันเองมาก หมอก็รักษาดีค่ะ หายเร็วมาก อาหารที่รพ.ไม่ค่อยอร่อยแต่ในโรงพยาบาลมีร้านอาหารกับเซเว่น มียามมีแม่บ้านค่อยดูแลตลอดคนที่เอา สถานที่ห้องพักสะอาดดีแอร์ค่อนข้างเย็น จากที่สังเกตคนไข้คนอื่นเวลาจะเดินไปแผนกไหนจะมีพยาบาลเดินพาไปตลอดแต่ด้วย,"I rarely eat anything The hospital is Well Great care has nothing to do alone. Talk a lot of inspiration and very good doctors and nurses. Nurses speak good Lovely, very friendly Doctors keeping very good fast food is hospital food, but not in the hospital restaurant on Seven. I have a maid who took care of all the people. The rooms are clean air is quite cold. From the time a patient moves to another department that will take care to walk through it, too.",4
บริการของหมอและพยาบาลดีมากค่ะ พยาบาลพูดจาดีค่ะ น่ารักเป็นกันเองมาก หมอก็รักษาดีค่ะ หายเร็วมาก อาหารที่รพ.ไม่ค่อยอร่อยแต่ในโรงพยาบาลมีร้านอาหารกับเซเว่น มียามมีแม่บ้านค่อยดูแลตลอดคนที่เอา สถานที่ห้องพักสะอาดดีแอร์ค่อนข้างเย็น จากที่สังเกตคนไข้คนอื่นเวลาจะเดินไปแผนกไหนจะมีพยาบาลเดินพาไปตลอดแต่ด้วยความเป็นโรงบาลเอกชนราคาก็สูงตามแต่โดยรวมก็ดีหมดเลย  น่าประทับใจค่ะ เป็นโรงบาลที่จะเลือกใช้บริการตลอด,"Services of doctors and nurses very good. Nurses speak good Lovely, very friendly Doctors keeping very good fast food is hospital food, but not in the hospital restaurant on Seven. I have a maid who took care of all the people. The rooms are clean air is quite cold. From the time a patient moves to another department where a nurse went to a private hospital, but with the price was high, but overall it out. Impressive enough The hospital will use the service.",5
บริการของหมอและพยาบาลดีมาก ตอนนอนพักฟื้นก็มีพยาบาลเข้ามาเช็คมาดูแลตลอดหมอก็เข้ามาเป็นพักๆ อาหารที่รพ.ไม่ค่อยอร่อยแต่ในโรงพยาบาลมีร้านอาหารกับเซเว่น มียามมีแม่บ้านค่อยดูแลตลอดคนที่เอา สถานที่ห้องพักสะอาดดีแอร์ค่อนข้างเย็น จากที่สังเกตคนไข้คนอื่นเวลาจะเดินไปแผนกไหนจะมีพยาบาลเดินพาไปตลอดแต่ด้วยความเป็นโรงบาลเอกชนราคาก็สูงตามแต่โดยรวมก็ดีหมดเลย,"Services of doctors and nurses are very good. Recovery sleep was a nurse came in to take care of all the doctor came into the room. Hospital food. Quite tasty, but the hospital has a restaurant on Seven. I have a maid who took care of all the people. The rooms are clean air is quite cold. From the time a patient moves to another department where a nurse went to a private hospital, but with the price was high, but overall it out.",4
บริการของหมอและพยาบาลดีมาก ตอนนอนพักฟื้นก็มีพยาบาลเข้ามาเช็คมาดูแลตลอดหมอก็เข้ามาเป็นพักๆ อาหารที่รพ.ไม่ค่อยอร่อยแต่ในโรงพยาบาลมีร้านอาหารกับเซเว่น มียามมีแม่บ้านค่อยดูแลตลอดคนที่เอา สถานที่ห้องพักสะอาดดีแอร์ค่อนข้างเย็น จากที่สังเกตคนไข้คนอื่นเวลาจะเดินไปแผนกไหนจะมีพยาบาลเดินพาไปตลอดแต่ด้วยความเป็นโรงบาลเอกชนราคาก็สูงตามแต่โดยรวมก็ดีหมดเลย,"Services of doctors and nurses are very good. Recovery sleep was a nurse came in to take care of all the doctor came into the room. Hospital food. Quite tasty, but the hospital has a restaurant on Seven. I have a maid who took care of all the people. The rooms are clean air is quite cold. From the time a patient moves to another department where a nurse went to a private hospital, but with the price was high, but overall it out.",5
บริการดี เป็นกันเอง และปลอดภัยด้วยค่ะ รู้สึกสบายใจที่มาโรงพยาบาลนี้ ไม่ทำให้ผู้มาใช้บริการผิดหวังเลยค่ะ อีกอย่างเป็นโรงพยาบาลที่สะอาด สุขลักษณะ ดูแลผู้ป่วยดี ใส่ใจและมีความคิดรอบคอบ ทำให้สบายใจไม่คิดมากทำให้คนไข้ผ่อนคลาย. รู้สึกสบายใจไม่กลัวไม่เกร็งค่ะ และเรื่องอาหารการกินก็บริการตรงเวลาค่ะ. สะอาด. พื้นที่และสภาพแวดล้อมก็โอเค ค่ารักษาก็เป็นกันเอง ไม่แพงจนเกินไป.,"Service is friendly and secure it. I feel comfortable at this hospital. Do not make me come to disappointment. Also, the hospital clean and hygienic better patient care. Attentive and thoughtful ideas Make peace not think makes the patient relax. I do not feel afraid, not contracting. And the food was served on time. Clean. And the environment is OK. The treatment is friendly Not too expensive.",4
บริการของหมอและพยาบาลดีมาก ตอนนอนพักฟื้นก็มีพยาบาลเข้ามาเช็คมาดูแลตลอดหมอก็เข้ามาเป็นพักๆ อาหารที่รพ.ไม่ค่อยอร่อยแต่ในโรงพยาบาลมีร้านอาหารกับเซเว่น มียามมีแม่บ้านค่อยดูแลตลอดคนที่เอา สถานที่ห้องพักสะอาดดีแอร์ค่อนข้างเย็น จากที่สังเกตคนไข้คนอื่นเวลาจะเดินไปแผนกไหนจะมีพยาบาลเดินพาไปตลอดแต่ด้วยความเป็นโรงบาลเอกชนราคาก็สูงตามแต่โดยรวมก็ดีหมดเลย,"Services of doctors and nurses are very good. Recovery sleep was a nurse came in to take care of all the doctor came into the room. Hospital food. Quite tasty, but the hospital has a restaurant on Seven. I have a maid who took care of all the people. The rooms are clean air is quite cold. From the time a patient moves to another department where a nurse went to a private hospital, but with the price was high, but overall it out.",4
บริการของหมอและพยาบาลดีมาก ไปนอนให้น้ำเกลือ เข้านอกเวลาตอน 1 ทุ่มมีความพอใจในการบริการ ตอนนอนพักฟื้นก็มีพยาบาลเข้ามาเช็คมาดูแลตลอดแต่ในโรงพยาบาลมีร้านอาหารกับเซเว่น มียามมีแม่บ้านค่อยดูแลตลอดคนที่เอารถมาก็จะมีรถกอล์ฟไปรับถึงที่อยู่ แต่ห้องน้ำค่อนข้างเหม็นและสกปรกค่ะ ตรงนี้เป็นข้อเสียของโรงพยาบาลนี้....................................,"Services of doctors and nurses are very good. IVs to sleep It took off at 1 pm satisfaction in service. Now, it is a rehabilitation hospital to check his care, but the hospital has a restaurant on Seven. I have a maid who took care of the car, it will have a golf cart to get to the address. The bathroom was quite smelly and dirty it. This is the downside of this hospital ....................................",4
คุณหมอใจดีค่ะ ให้คำปรึกษาดีมาก พยาบาลดูแลดีเป็นมิตร มีความพอใจในการบริการค่ะ แต่ห้องน้ำค่อนข้างเหม็นและสกปรกค่ะ ตรงนี้เป็นข้อเสียของโรงพยาบาลนี้ค่ะ โรงอาหารก็ดูสะอาดค่ะ แต่เรื่องตู้กดเงินมีแค่ตู้เดียวซึ่งถือว่าน้อยมากค่ะ  หนูเคยไปแผนกศัลยกรรม หูคอจมูก และแผนกจิตเวชค่ะ ซึ่งทุกแผนกให้บริการดีมากค่ะ แต่รอคิวนานคนค่อนข้างเยอะเพราะเป็นโรงพยาบาลของรัฐบาลซึ่งเป็นเรื่องปกติค่ะ เคยผ่าตัดชั้น3ถือว่าไม่กดดันค่ะ หมอพยาบาลดูแลดีมาก ห้องผ่าตัดสะอาด คุณหมอเปิดเพลงเพื่อให้ผ่อนคลายชอบตรงนี้ค่ะ ไปแผนกจิตเวชหนูไปส่งเพื่อนค่ะ คุณหมอให้คำปรึกษาดีมากถึงแม้ว่าแต่ละเคสจะใช้เวลานานก็ตามค่ะ โดยสรุปการให้บริการของแพทย์ พยาบาล บุคลากร ถือว่าดีค่ะ แต่ห้องน้ำสกปรกค่ะ,"You too generous Counseling is great Good nursing care is There is satisfaction in our services. The bathroom was quite smelly and dirty it. This is the downside of the hospital now. Cafeteria was clean enough But ATM with just a single cabinet which is very small here. He had surgery, ENT and psychiatric help. The department serves all very good. However, long queues of people because a lot of the hospital, which is normal. 3rd floor surgery is not pressure me. Take very good care nurse Operating room clean The doctor turned to music to relax, meet like this. I sent a friend to go to a psychiatric ward here. Doctor consultation is very good, although each case will take a long time or not. In summary, the services of doctors, nurses, staff is good but not a dirty bathroom.",3
บริการของหมอและพยาบาลดีมาก ตอนนอนพักฟื้นก็มีพยาบาลเข้ามาเช็คมาดูแลตลอดหมอก็เข้ามาเป็นพักๆ อาหารที่รพ.ไม่ค่อยอร่อยแต่ในโรงพยาบาลมีร้านอาหารกับเซเว่น มียามมีแม่บ้านค่อยดูแลตลอดคนที่เอารถมาก็จะมีรถกอล์ฟไปรับถึงที่อยู่ สถานที่ห้องพักสะอาดดีแอร์ค่อนข้างเย็น จากที่สังเกตคนไข้คนอื่นเวลาจะเดินไปแผนกไหนจะมีพยาบาลเดินพาไปตลอดแต่ด้วยความเป็นโรงบาลเอกชนราคาก็สูงตามแต่โดยรวมก็ดีหมดเลย,"Services of doctors and nurses are very good. Recovery sleep was a nurse came in to take care of all the doctor came into the room. Hospital food. Quite tasty, but the hospital has a restaurant on Seven. I have a maid who took care of the car, it will have a golf cart to get to the address. The rooms are clean air is quite cold. From the time a patient moves to another department where a nurse went to a private hospital, but with the price was high, but overall it out.",5
