th_comment,en_comment,score
พาคุณแม่ไปพบคุณหมอแผนกอายุรกรรมโรคไต ของที่นี่ ได้คุณหมอน่ารักมาก พูดคุยแบบเป็นกันเองทำให้คุณแม่ไม่รู้สึกเครียดเลย ติดตามอาการอธิบายให้เราฟังแบบใช้ภาษาธรรมดาๆ ที่ไม่ได้เรียนแพทย์มาก็เข้าใจได้อย่างละเอียด และอีกอย่างที่ดีมาตลอดทุกครั้งที่ไปใช้บริการ คือเจ้าหน้าที่เข็นรถเข็นให้คนไข้ พี่ๆบริการดีมาก สามารถขอให้ช่วยเข็นไปที่ไหนก็ได้ในโรงพยาบาล ไม่ว่าจะเป็นห้องน้ำ ศูนย์อาหาร หรือบริการเรียกรถtaxi ให้ก็ได้ค่ะ พูดจาก็สุภาพเรียบร้อยดีค่ะ,"Take your mom to the doctor internal medicine and nephrology department of the doctors here are very cute. Talking friendly so you do not feel stressed at all. Follow signs explain in plain language. Doctors who do not study it to understand it thoroughly. And as good as any time to use the service. Officials are trolleys for patients. I'm very good service Let us help you go anywhere in the hospital. Whether it is food or bathroom Call a taxi, it was not flattering modestly good.",5
บริการประทับใจ การรักษาเข้าถึงผู้เข่ารับบริการ,Excellent Service Maintaining access to the service.,5
บริการทุกระดับ ประทับใจ,Services at all levels,5
บริการดี รวดเร็ว รักษาดีมาก หมอ พยาบาล เจ้าหน้าที่มีคุณภาพ สามารถให้การรักษาได้ตรงกับโรค วินิจฉัยโรคได้เร็วทำให้การรักษาไม่ล่าช้า,"Good service, fast treatment very good doctors, nurses, staff quality. This can provide treatment for the disease. Faster diagnosis that treatment is not delayed.",5
การให้บริการดีมาก สถานที่สะอาดสวยงาม คุณหมอเป็นอาจารย์แพทย์จากศิริราชระดับแนวหน้า ดังนั้นเรื่องความชำนาญในโรคเฉพาะทางจึงไม่ต้องพูดถึง ไว้ใจในความสามารถคุณหมอได้ เครื่องมืออุปกรณ์ทางการแพทย์มีความทันสมัยมาก แต่ไม่ต้องรอคอยนานเหมือนศิริราชเดิม สำหรับท่านที่ต้องการรักษากับอาจารย์แพทย์แต่ไม่ต้องการรอนานหรือต้องการได้รับบริการที่ดี และมีกำลังจ่ายไหวแนะนำให้มาที่นี่ค่ะ จะเป็นการช่วยทำบุญทางอ้อมด้วย เนื่องจากรายได้บางส่วนจากที่นี่จะนำไปสนับสนุนศิริราชเดิมสำหรับผู้ป่วยยากไร้ด้วยค่ะ ส่วนค่าบริการก็ไม่ได้แพงกว่าเอกชนชื่อดัง บางทียังถูกกว่าด้วยซ้ำค่ะ แต่จะเข้าไปพบแพทย์ควรทำนัดก่อนล่วงหน้าเพราะอาจารย์หมอทุกท่านมีคิวอยู่แล้วค่ะ,"The service is great Place clean The doctor, a professor of medicine at Siriraj forefront. Therefore, the technical expertise of the disease do not have to talk about. You can trust the doctors. Medical equipment are very modern. But do not wait as long Siriraj original. For those who want to keep up with the doctor, but do not want to wait that long or want to get good service. The're paying me to come here. This will help people indirectly. Because some revenue from this will be used to support the Siriraj patient broke it. The fee is not more expensive than a private one. Perhaps even cheaper with it. But the doctor should make an appointment in advance because teachers, doctors wherever you are in the queue then.",5
เข้าใช้บริการที่นี้ตลอด เพราะรู้สึกว่าดูแลลูกค้าดี รวดเร็ว เป็นกันเอง มีการติดตามผู้ป่วยอย่างใกล้ชิด โทรแจ้งนัดหมายก่อนถึงวันเข้าพบแพทย์,"Access to this day It felt good, fast, friendly customer care patients are monitored closely. Call ahead to make an appointment to see the doctor today.",5
เกิดนิ้วส้นเจ็บนิ้วโป้งและเนินนิ้วโป้งมากๆได้ไปพบแพทย์แผนไทยประยุกต์นวดให้ใช้แค่มือเปล่านวดภายในระยะเวลาแปปเดียวเท่่านั้นก็เบาขึ้นทันตาตอนนวดเสร็จใหม่ๆไม่จบเลยแต่พอทิ้งไว้ก็บรรเทาขึ้นกว่าตอนแรก ดีมากๆหมอมือเปล่าก็ช่วยเราได้,"Born inch heel sore thumb, and the thumb is not to find medicine Thailand applied massage using only his bare hands kneading time all year long, it's light-up eyes now massage minted not finished yet, but I left. it's more relief than the first Good Doctor hand, it can help us.",4
"ดิฉันพาลูกไปรักษาอาการท่อน้ำตาตัน และแพทย์แนะนำให้แยงท่อน้ำตา ดิฉันจึงตัดสินใจรักษาตามที่แพทย์แนะนำและพักรักษาตัวที่ร.พ.1 คืน วันรุ่งขึ้นรอคุยกับแพทย์ที่จะมาดูอาการ แต่สุดท้ายแพทย์ไม่ได้เข้ามาเพราะติด 130 คิวที่ศิริราช แต่แพทย์โทรเข้ามาสอบถามอาการและนัดดูอีกครั้งหนึ่ง ภาพรวมของการรักษาโดยแพทย์และดูแลโดยพยาบาลดีค่ะ พอถึงตอนจะกลับ ได้เอกสารสรุปค่าใช้จ่ายมาประมาณ46,000 บาท ตอนเกือบ 15:30 พอดีลูกมีประกัน 2 ที่ สักเกือบห้าโมง เจ้าหน้าที่การเงินแจ้งว่าเคลมประกันที่แรกไม่ทัน กำลังส่งให้ที่ที่ 2 พอหกโมงกว่า โทรไปสอบถาม จนท. บอกรอประกันอ่านเอกสาร สุดท้าย เกือบหนึ่งทุ่ม เคลมได้บริษัทเดียว เบ็จเสร็จเสียเวลากับการเงินไปเกือบ 4 ชั่วโมง และมีนัดเข้าไปเซ็นต์เอกสารภายหลังต่อ ทีแรกก็เข้าใจว่าจะส่งเบิกในส่วนที่ส่งประกัน บ.แรกไม่ทัน แต่พอไปถึง กลายเป็นเซ็นต์เอกสารของ บ.ประกัน ที่ยื่นเคลมไปแล้ว พร้อมกับเตรียมเอกสารที่เหลือให้ไปยื่นเคลมกับ บ. ประกันที่เคลมไม่ทันเอง เสียเวลามาก แต่ยังดี หลังจากนั้นมี ฝ่ายบริการลูกค้าโทรมาขอโทษและรับฟังปัญหา บอกจะแก้ไข ก็คงต้องดูกันต่อไปว่าจะแค่รับฟังหรือพัฒนาขึ้นรึเปล่าค่ะ","Take the children to treat the tear ducts tons. Doctors recommend prod and tear ducts. I decided to follow the recommended treatment and the treatment process. May. 1 night, the next day I talked to the doctor to see the symptoms. But the doctor did not come because the queues at Siriraj 130. But doctors call into question the symptoms and make an appointment to see one again. Overview of treatment by doctors and nurses care for the good. Well, I'll be back The document has cost about 46,000 baht at 15:30, almost exactly two children are insured at a nearly five o'clock. Financial claims that the first catch. Are sent to a second six over enough to ask for it. I have read the final document insure nearly one o'clock. Clemson was the only company Beck finished the time to finance nearly 4 hours and an appointment to sign the document later. First, understand that it will withdraw the insurance on that. But not enough to become the first signing of the document. Insurance claims submitted to it. Along with the paperwork to file a claim against the USD. Insurance claims did not waste much time, but also afterwards. Customer service call and hear an apology, saying the issue is resolved, it remains to be seen next to me just listen or developed it.",3
บริการดีมาก พยาบาลกับหมอก็พูดจาดี ไม่เหวี่ยง ยิ้มแย้มตลอด,Service very good hospital with good doctors spoke cast smiling throughout.,5
ตรวจอย่างเจาะลึกตามที่หมอสงสัยทันทีไม่ปล่อยให้กินแต่ยารักษาอาการเท่านั้น เพื่อให้รู้ชัดถึงสิ่งที่เป็นทันที ประทับใจมากค่ะ,Depth examination by the doctor suspects immediately but do not let it consume only cure. So clearly aware of what is right. Very impressive,5
หมอมีประสบการณ์ รพ มีอปก การแพทย์ ใหม่,Hospital doctors have experience with the development of new medicine.,5
พาลูสาวมาตรวจด้วยอาการอาเจียนมาหลายครั้งจากอาหารเป็นพิษวันที่18มกราคม2560 เวลาตี2 น้องมีภาวะขาดน้ำ ไม่ปัสสาวะ จำเป็นต้องแอดมิทให้ยาและน้ำเกลือทดแทน กระบวนการขั้นตอนรวดเร็วดีมาค่ะ. คุณหมอน่ารัก. รู้สึกประทับใจมากค่ะ,"Luke Young takes the test several times with vomiting from food poisoning on January 18, 2560 at 2 am I have not dehydration, urinary need for medication administration and salt substitutes. The process is fast coming here. Doctor Love. I was very impressed",5
บริการดีใส่ใจทุกรายละเอียดเรื่อง,"Good service, attention to detail matters.",5
เริ่มตั่งแต่เข้าที่จอดรถตอนรับบัตรด่านแรก พนักงานที่ทำหน้าทีตรงนร้สวัสดียกมือไหว้ ด่านต่อมาคือตอนจอดรถเจอเจ้าหน้าที่เรียกว่ารปภ จะมียื่นกระดาษที่เราจดรถแต่ไม่ได้มีทุกครั้งค่ะ และจะคอยดูเวลาเราจอดถอยเลี้ยวได้หรือเปล่า มาถึงด่านขึ้นลิฟท์ สะอาดไม่มีกลิ่นเหม็น ที่นี่การบริการดีเยี่ยมทุกอย่างค่ะ มีน้ำดื่มให้บริการก่อนมาพบแพทย์ทุกครั้งจะต้องมีการโทรคอมเฟริมแต้งนัดการตรวจแพทย์เวลาที่เราจะได้ตรวจ พยาบาลประจำเคาเตอร์มีหลายท่านค่ะ และจะดินมาหาคนไข้ถึงเก้าอี้ ถ้าคนไข้เยอะก้เดินออกไปหาที่ล๊อบบี้ด้านนอกค่ะ ตอนที่ชำระคิดเงินถ้าใช้เวลานานก้จะเอ่ยปากขอโทษเราตลอด ไม่มีหน้าหงิกหน้างอ ค่ายาไม่แพงอย่างที่คิดนะค่ะ เพราะรายได้ก้เอาไปสนับสนุนรพศิริราชอีกทีค่ะ ประทับการใช้บริการมากค่ะ,"Starting from the parking lot to get the first checkpoint. Employees who do not meet the grade I respect your hands. The checkpoint was parking my staff called security. We have submitted a paper to write, but not every time. And we'll look forward to the park, turn back or not. Reached the elevator. Clean, no bad smell Here, the service excellent, everything is here. Drinking water is available before the doctor every time you need to call other effects on the broadly strikes the doctors that we can investigate. Nurses have various counters. The soil for the patient chair. If you have a patient walk out to the lobby and outside it. When the settlement charge, if it takes longer speak to us at all sorry. No frown crinkled The drug is expensive as you think of it. The Revenue took to support Siriraj Hospital here again. Very imprint of Service",5
เป็นโรงพยาบาลที่ทันสมัย สถานที่สะอาด อุปกรณ์การแพทย์ใหม่และทันสมัย แพทย์เก่งเชี่ยวชาญเฉพาะทางหลากหลายสาขา ได้รับมาตรฐานสากล มารักษาที่นี่ ได้เป็นทั่งผู้ให้และผู้รับ แต่ระบบการบริการค่อนข้างช้า ยังด้อยกว่าเมื่อเทียบกับการบริการของโรงพยาบาลเอกชนอื่น เจ้าหน้าที่แบ่งหน้าที่กันอย่างชัดเจน ในบางทีต้องรอนานในการรับบริการเพราะมีเจ้าหน้าที่ทำหน้าที่นั่นๆจำกัดและคนอื่นก็ไม่สามารถทำงานนั้นแทนได้ ระบบบริการโดยรวมค่อนข้างเหมือนการบริการของโรงพยาบาลของรัฐแต่ค่าบริการระดับเอกชน,"A modern hospital facility is clean, new and modern medical equipment. Wally Doctors specialists in several fields. International standards have been The treatment here It is both the giver and the recipient. But the service is quite slow Still inferior compared to other private hospital services. Officials clearly divide responsibilities In perhaps have to wait long to get served because the staff is so limited, and others simply can not work there instead. Service overall is quite similar to the services of public hospitals, but the private carrier.",3
กระบวนการทำงานของโรงพยาบาลดีมากๆ คะ มีความสะดวก แทบจะไม่ต้องเดินเรื่องเอง เพราะพยาบาลดูแลให้หมด รอไม่นาน ส่วนตอนที่เข้าพบคุณหมอ อันนี้ประทับใจมากคะ คุณหมอให้คำแนะนำที่ดี อีกทั้งยังตอบคำถามที่เราคิดว่าน่าจะเกี่ยวกับอาการได้หายข้องใจ สรุปโดยภาพรวมประทับใจมาก เมื่อเทียบกับรพ.เอกชนที่เคยใช้บริการ,"The work of the hospital is a very good story itself hardly walk. Because nursing care to wait a long time when he met the doctor. This impressed me You give good advice. They also answered questions about symptoms, we think it has gone grievances. The overall impression Compared to hospital previously used a private service.",5
ดิฉันไปรักษาธัยรอยด์อักเสบ กับอาจารย์หมอ ธวัชชัย พีรพัฒน์ดิษฐ์ เป็นอาจารย์หมอเฉพาะทางดานต่อไร้ท้อ มากประสบการณ์ ให้คำแนะคำคนไข้ได้ชัดเจน ทำให้คนไข้คลายความกังวล ด้านการพยาบาล ดูแลคนไข้อย่างดี พูดจาสุภาพ กิริยามารยาทดี แต่งกายแบบฟอร์มเนี๊ยบ ด้านการเงินกับจ่ายยา พนักงานพูดจาสุภาพ สถานที่ รพ. ดูสะอาด โอ่งโทง มีร้านค้าใน รพ. ให้สามารถรับประทานอาหารระหว่างรอพบแพทย์ เรียกว่าครบวงจรเลยค่ะ โดยรวมเพิ่งไปหาครังแรกประทับใจมากๆค่ะ,"Had to treat thyroid disease. Teachers, doctors Dhawatchai Peerapat Dit. Professors, doctors specializing in the nervous system. experienced The clear advice to patients. Patients concern Nursing Patient to patient, polite, good manners, good. Dress form neat. Dispensing with the financial Staff polite place hospital clean master cylinder has a shop in the hospital to be able to eat while waiting for the doctor. Called stop it Overall I was very impressed the first time for me.",5
ตอนลูกดิฉันอายุ8เดือน ลูกดิฉันไข้ขึ้นสูง มีอาการหายใจติดขัด ตอนนั้นเวลาประมาณตี3 ฉันจึงรีบพาลูกไปที่โรงพยาบาล ตอนนั้นลูกดิฉันเข้าห้องฉุกเฉิน พยาบาลทุกคนที่อยู่ตรงนั้นรีบเข้ามาดูแลลูกดิฉัน แล้วรีบตามหมอเด็กมาดูอาการ ซึ่งดิฉันประทับใจการบริการที่รวดเร็วมากแล้วยังมีหมอเฉพาะอีกด้วย พอเราทราบว่าหมอที่รักษาเป็นหมอเด็กเราดีใจมากเพราะหมอจะมีวิธีที่ทำให้ลุกเราไม่เจ็บมาก ตอนนั้นประทับใจมากที่บริการรวดเร็วไม่ต้องนั่งรอหมอเพราะเวลาเด็กเป็นอะไรเขายังสื่อสารกับเราไม่ได้มากพอมาเจอหมอกับพยาบาลที่เป็นห่วงคนไข้เราก็ประทับมากเลยค่ะ,"When my son was 8 months My ball high fever Symptoms include shortness of breath Then, at about 3 am I took my son to the hospital. Then my son to the emergency room. Ambulances rushed everyone out there to take care of my children. Then came upon a doctor's observation. Which I appreciate very fast service, there is only one doctor. But we know that doctors who treat children, we are very glad to be a doctor, because the doctor is a way for us not to get hurt. He was very impressed with the fast service without waiting for the doctor because the child is still with us, he does not have enough doctors to meet patient care is concerned, we sat too.",5
เวชระเบียน การบริการที่รวดเร็ว กระชับกับเวลาที่ให้คนไข้ไปแผนกตรวจได้เร็วขึ้น ที่สำคัญคือคุณสามารถขอคิวตรวจคนไข้นอกได้ขณะติดต่อ call center โดยที่เราไม่ต้องเสียเวลาโดนทางไปจองเอง,"Medical records fast service Fitting with the department to give patients faster. The key is, you can queue up as an outpatient examination by contacting the call center, we do not have to go by the book itself.",4
พยาบาลดูแลดี คุณหมอใส่ใจคนไข้ ได้รับการต้อนรับดีตั้งแต่มาถึง พยาบาลคอยถาม เครื่องมือทันสมัย คุณหมอเก่งมากคะ,"Good nursing care, doctor care patients. Get a good reception from the nurses kept asking modern tools. You are very good",5
